Symbols,Brexit,2_years_later,Gain/(loss),% Gain/(loss)
888.L,128.36502075195312,255.0,126.63497924804688,98.65224849123865
3IN.L,286.6792297363281,346.0,59.320770263671875,20.692385115668085
AAF.L,64.84322357177734,152.5,87.65677642822266,135.18263220086854
AAL.L,1753.0001220703125,3228.0,1474.9998779296875,84.1414589399855
ABDN.L,239.2469940185547,240.89999389648438,1.6529998779296875,0.690917720705611
ABF.L,2578.928466796875,1941.0,-637.928466796875,-24.736183070219308
ADM.L,1995.8843994140625,3144.0,1148.1156005859375,57.524153248704835
AGR.L,69.60604858398438,66.9000015258789,-2.7060470581054688,-3.8876607897666267
AGT.L,146.01974487304688,204.0,57.980255126953125,39.70713356427418
AHT.L,2372.657470703125,5246.0,2873.342529296875,121.102289933379
AJB.L,373.5147705078125,336.20001220703125,-37.31475830078125,-9.990169398133819
AML.L,3202.58251953125,1188.5,-2014.08251953125,-62.889324701180335
ANTO.L,735.4171142578125,1332.5,597.0828857421875,81.18969142358989
APAX.L,137.90713500976562,211.5,73.59286499023438,53.36407357387494
APEO.L,356.3536682128906,546.0,189.64633178710938,53.21857152142798
ASC.L,3073.0,2213.0,-860.0,-27.985681744223882
ASCL.L,353.06231689453125,351.6000061035156,-1.462310791015625,-0.41417923155261416
ASHM.L,459.8064880371094,276.3457946777344,-183.460693359375,-39.89954429363522
ASL.L,1345.3800048828125,1414.1806640625,68.8006591796875,5.113845822740639
AUTO.L,546.3356323242188,667.5999755859375,121.26434326171875,22.19594258310345
AV.L,338.4059143066406,566.8853149414062,228.47940063476562,67.51637337748565
AVV.L,3820.50439453125,2918.0,-902.50439453125,-23.622650344889372
AZN.L,6861.60498046875,8478.0068359375,1616.40185546875,23.55719777034331
BA.L,542.72021484375,577.2000122070312,34.47979736328125,6.353144110028781
BAB.L,588.7999877929688,301.8999938964844,-286.8999938964844,-48.72622279967894
BARC.L,153.55426025390625,192.7620391845703,39.20777893066406,25.533501230010103
BATS.L,2741.9150390625,3163.5,421.5849609375,15.375566162022508
BBGI.L,146.37416076660156,169.18504333496094,22.810882568359375,15.583954469076055
BBH.L,130.4522705078125,167.0,36.5477294921875,28.01616970706442
BBOX.L,122.82456970214844,237.39999389648438,114.57542419433594,93.28379856911624
BBY.L,247.76356506347656,251.60000610351562,3.8364410400390625,1.548428252175082
BDEV.L,671.38916015625,611.5999755859375,-59.7891845703125,-8.905294889836764
BEZ.L,519.8303833007812,478.4327392578125,-41.39764404296875,-7.963683034474629
BGEO.L,1370.849609375,1468.0,97.150390625,7.086874443455031
BGFD.L,779.79296875,846.0,66.20703125,8.490334473793624
BHMG.L,2640.0,3820.0,1180.0,44.696969696969695
BIFF.L,276.98333740234375,339.0,62.01666259765625,22.390033703569447
BKG.L,4934.2666015625,4198.0,-736.2666015625,-14.921500215034014
BLND.L,504.3986511230469,550.2000122070312,45.801361083984375,9.080389287720605
BME.L,281.0703125,566.2000122070312,285.12969970703125,101.44426039553048
BNKR.L,86.7380599975586,114.5999984741211,27.8619384765625,32.12192949363489
BNZL.L,1818.8150634765625,2767.0,948.1849365234375,52.132014714626095
BOY.L,763.8062133789062,794.5,30.69378662109375,4.018530627724455
BP.L,389.44378662109375,377.623291015625,-11.82049560546875,-3.035225111183866
BRBY.L,1860.291748046875,1867.5,7.208251953125,0.3874796499362512
BRSC.L,1624.245849609375,1820.0,195.754150390625,12.052002499357048
BRWM.L,302.17535400390625,630.0,327.82464599609375,108.48821442659944
BSIF.L,108.20677185058594,121.76011657714844,13.5533447265625,12.525412684223895
BVIC.L,869.5047607421875,908.0,38.4952392578125,4.427260320570749
BWY.L,3705.117919921875,2837.0,-868.117919921875,-23.430237274072503
BYG.L,1096.9423828125,1494.0,397.0576171875,36.19676141690014
CAPC.L,238.34959411621094,171.3000030517578,-67.04959106445312,-28.13077627132945
CBG.L,1196.4647216796875,1283.0,86.5352783203125,7.2325808485876415
CCC.L,1665.882080078125,2658.0,992.117919921875,59.555110880077876
CCH.L,2533.421142578125,2441.0,-92.421142578125,-3.6480765485391435
CCL.L,3078.86962890625,1326.0,-1752.86962890625,-56.93224592718291
CCR.L,334.956298828125,221.39999389648438,-113.55630493164062,-33.901826993230955
CEY.L,108.55331420898438,88.86000061035156,-19.693313598632812,-18.141605110940873
CGT.L,4313.7783203125,5080.0,766.2216796875,17.76219413221941
CHG.L,258.9879455566406,271.5,12.512054443359375,4.831133903343385
CKN.L,2627.571044921875,3295.0,667.428955078125,25.400986069169047
CLDN.L,2809.765380859375,3660.0,850.234619140625,30.259986293965163
CLI.L,243.3159942626953,224.0,-19.315994262695312,-7.938645513718619
CMCX.L,129.8922882080078,230.0,100.10771179199219,77.069788494049
CNA.L,76.1766357421875,72.31999969482422,-3.8566360473632812,-5.0627544913058316
CNE.L,174.06446838378906,205.39999389648438,31.335525512695312,18.00225273064037
COA.L,68.96739959716797,65.30000305175781,-3.6673965454101562,-5.317579851975094
CPG.L,1851.8302001953125,1669.0,-182.8302001953125,-9.872946243993072
CRDA.L,4765.20703125,7972.0,3206.79296875,67.29598415598745
CRH.L,2562.55126953125,3713.0,1150.44873046875,44.894661977990154
CRST.L,427.77935791015625,321.0,-106.77935791015625,-24.961316140126243
CSP.L,488.0,306.3999938964844,-181.60000610351562,-37.21311600481877
CTEC.L,194.8365936279297,175.5,-19.336593627929688,-9.924518422271266
CTY.L,361.2043151855469,403.5,42.295684814453125,11.70962888212625
