Ticker,Name,Market,
888,888 HOLDINGS PLC ORD 0.5P (DI),FTSE 250,
3IN,3I INFRASTRUCTURE PLC ORD NPV,FTSE 250,
AAF,AIRTEL AFRICA PLC ORD USD0.50,FTSE 100,
AAL,ANGLO AMERICAN PLC ORD USD0.54945,FTSE 100,
ABDN,ABRDN PLC ORD 13 61/63P,FTSE 250,
ABF,ASSOCIATED BRITISH FOODS PLC ORD 5 15/22P,FTSE 100,
ADM,ADMIRAL GROUP PLC ORD 0.1P,FTSE 100,
AGR,ASSURA PLC ORD 10P,FTSE 250,
AGT,AVI GLOBAL TRUST PLC ORD 2P,FTSE 250,
AHT,ASHTEAD GROUP PLC ORD 10P,FTSE 100,
AJB,AJ BELL PLC ORD GBP0.000125,FTSE 250,
AML,ASTON MARTIN LAGONDA GLOBAL HOLDING ORD GBP0.10,FTSE 250,
ANTO,ANTOFAGASTA PLC ORD 5P,FTSE 100,
APAX,APAX GLOBAL ALPHA LIMITED ORD NPV,FTSE 250,
APEO,ABRDN PRIVATE EQUITY OPP TRUST PLC ORD 0.2P,FTSE 250,
ASC,ASOS PLC ORD 3.5P,FTSE 250,
ASCL,ASCENTIAL PLC ORD 1P,FTSE 250,
ASHM,ASHMORE GROUP PLC ORD 0.01P,FTSE 250,
ASL,ABERFORTH SMALLER COMPANIES TST PLC ORD 1P,FTSE 250,
ATG,AUCTION TECHNOLOGY GROUP PLC ORD 0.01P,FTSE 250,
ATST,ALLIANCE TRUST PLC ORD 2.5P,FTSE 250,
ATT,ALLIANZ TECHNOLOGY TRUST PLC ORD 2.5P,FTSE 250,
AUTO,AUTO TRADER GROUP PLC ORD 1P,FTSE 100,
AV.,AVIVA PLC ORD 32 17/19P,FTSE 100,
AVV,AVEVA GROUP PLC ORD 3 5/9P,FTSE 100,
AZN,ASTRAZENECA PLC ORD SHS $0.25,FTSE 100,
BA.,BAE SYSTEMS PLC ORD 2.5P,FTSE 100,
BAB,BABCOCK INTERNATIONAL GROUP PLC ORD 60P,FTSE 250,
BARC,BARCLAYS PLC ORD 25P,FTSE 100,
BATS,BRITISH AMERICAN TOBACCO PLC ORD 25P,FTSE 100,
BBGI,BBGI GLOBAL INFRASTRUCTURE S.A. ORD NPV (DI),FTSE 250,
BBH,BELLEVUE HEALTHCARE TRUST PLC RED ORD 1P,FTSE 250,
BBOX,TRITAX BIG BOX REIT PLC ORD 1P,FTSE 250,
BBY,BALFOUR BEATTY PLC ORD 50P,FTSE 250,
BCG,BALTIC CLASSIFIEDS GROUP PLC ORD GBP0.01,FTSE 250,
BCPT,BALANCED COMMERCIAL PROPERTY TRUST ORD 1P,FTSE 250,
BDEV,BARRATT DEVELOPMENTS PLC ORD 10P,FTSE 100,
BEZ,BEAZLEY PLC ORD 5P,FTSE 250,
BGEO,BANK OF GEORGIA GROUP PLC ORD 1P,FTSE 250,
BGFD,BAILLIE GIFFORD JAPAN TRUST PLC ORD 5P,FTSE 250,
BHMG,BH MACRO LD ORD NPV (GBP),FTSE 250,
BIFF,BIFFA PLC ORD GBP0.01,FTSE 250,
