,index,Symbols,Brexit,2_years_later,Gain/(loss),% Gain/(loss),Ticker,Name,Market
0,0,AAF.L,64.8432235717773,152.5,87.6567764282227,135.182632200869,AAF,AIRTEL AFRICA PLC ORD USD0.50,FTSE 100
1,1,AHT.L,2372.65747070313,5246,2873.34252929687,121.102289933379,AHT,ASHTEAD GROUP PLC ORD 10P,FTSE 100
2,2,BME.L,281.0703125,566.200012207031,285.129699707031,101.44426039553,BME,B&M EUROPEAN VALUE RETAIL S.A. ORD 10P (DI),FTSE 100
3,3,BRWM.L,302.175354003906,630,327.824645996094,108.488214426599,BRWM,BLACKROCK WORLD MINING TRUST PLC ORD 5P,FTSE 250
4,4,DRX.L,237.726257324219,601,363.273742675781,152.811787290428,DRX,DRAX GROUP PLC ORD 11 16/29P,FTSE 250
5,5,FAN.L,234.652160644531,500,265.347839355469,113.081353534791,FAN,VOLUTION GROUP PLC ORD GBP0.01,FTSE 250
6,6,FUTR.L,1277.81262207031,3142,1864.18737792969,145.888946918472,FUTR,FUTURE PLC ORD 15P,FTSE 250
7,7,FXPO.L,80.0567016601562,241.800003051758,161.743301391602,202.035929581771,FXPO,FERREXPO PLC ORD 10P,FTSE 250
8,8,IDS.L,178.129364013672,440.399993896484,262.270629882812,147.236044621303,IDS,INTERNATIONAL DISTRIBUTIONS SERVICE ORD 1P,FTSE 250
9,9,INDV.L,189.649993896484,1125,935.350006103516,493.198015399912,INDV,INDIVIOR PLC ORD USD0.50,FTSE 250
10,10,PFD.L,35.8697090148926,118,82.1302909851074,228.968378168354,PFD,PREMIER FOODS PLC ORD 10P,FTSE 250
11,11,PNL.L,17.0763416290283,353.686767578125,336.610425949097,1971.20925114831,PNL,PERSONAL ASSETS TRUST PLC ORD GBP0.125,FTSE 250
12,12,WOSG.L,373.399993896484,1272,898.600006103516,240.653460308473,WOSG,WATCHES OF SWITZERLAND GROUP PLC ORD GBP0.0125,FTSE 250
13,13,GLEN.L,189.506652832031,383,193.493347167969,102.103722627338,GLEN,GLENCORE PLC ORD USD0.01,FTSE 100
